id,public_name,lat,lng,address,postal_code
pasirris-pasirrisdrive6-blk473a-deck1a,Pasir Ris/Pasir Ris Drive 6/Blk 473A/Deck 1A,1.374253,103.956593,473A Pasir Ris Drive 6,511473
geylang-eunoscrescent-blk31a-deck1a,Geylang/Eunos Crescent/Blk 31A/Deck 1A,1.320225,103.9017609,31A Eunos Crescent,401031
hougang-hougangavenue8-blk618,Hougang/Hougang Avenue 8/Blk 618,1.369879,103.884244,Blk 609-621 Hougang Avenue 8,530614
clementi-westcoastroad-blk708,Clementi/West Coast Road/Blk 708,1.306052,103.761812,704-714 West Coast Road,120704
geylang-eunoscrescent-blk12,Geylang/Eunos Crescent/Blk 12,1.322604,103.905011,12 Eunos Crescent,400012
bedok-bedoksouthavenue3-behindblk69,Bedok/Bedok South Avenue 3/Behind Blk 69,1.319455,103.943098,69 Bedok South Avenue 3,460069
whampoa-3jalanampas-besideshawplaza,Whampoa/3 Jalan Ampas/Beside Shaw Plaza,1.325382,103.850772,3 Jalan Ampas,329802
tampines-tampineswalk-ourtampineshub-deckb1,Tampines/Tampines Walk/Our Tampines Hub/Deck B1,1.353227,103.940773,1 Tampines Walk,528523
choachukang-choachukangavenue4-lotone-deckb2,Choa Chu Kang/Choa Chu Kang Avenue 4/Lot one/Deck B2,1.38525,103.744922,21 Choa Chu Kang Avenue 4,689812
kembangan-21jalanmasjid-besidekembanganplaza,Kembangan/21 Jalan Masjid/Beside Kembangan Plaza,1.320397,103.912296,21 Jalan Masjid,418946
sengkang-rivervalecrescent-blk160-deck1,Sengkang/Rivervale Crescent/Blk 160/Deck 1,1.387305,103.90765,160 Rivervale Crescent,540160
tampines-4tampinescentral5-tampinesmall-deckb2,Tampines/4 Tampines Central 5/Tampines Mall/Deck B2,1.352467,103.945251,4 Tampines Central 5,529510
marineparade-139tembelingroad-oppositeshophouseno134,Marine Parade/139 Tembeling Road/Opposite Shophouse No.134,1.310655,103.902756,139 Tembeling Road,423648
bukitbatok-bukitbatokwestavenue7-blk404a-deck2b,Bukit Batok/Bukit Batok West Avenue 7/Blk 404A/Deck 2B,1.365462,103.745317,404A Bukit Batok West Avenue 7,651404
hougang-upperserangoonroad-blk364-deck1b,Hougang/Upper Serangoon Road/Blk 364/Deck 1B,1.370671,103.896745,364 Upper Serangoon Road,530364
hougang-hougangstreet32-blk376-deck2b,Hougang/Hougang Street 32/Blk 376/Deck 2B,1.36371,103.89408,376 Hougang Street 32,530376
bedok-bedokreservoirroad-blk739a-deck2,Bedok/Bedok Reservoir Road/Blk 739A/Deck 2,1.338203,103.923594,739A Bedok Reservoir Road,471739
bukitbatok-bukitbatokstreet52-blk537,Bukit Batok/Bukit Batok Street 52/Blk 537,1.355013,103.751187,537 Bukit Batok Street 52,650537
bedok-bedoknorthavenue2-blk515,Bedok/Bedok North Avenue 2/Blk 515,1.332295,103.929747,512-518 Bedok North Avenue 2,460554
jurongeast-8jurongtownhallroad-jtcsummit-deckb2,Jurong East/8 Jurong Town Hall Road/JTC Summit/Deck B2,1.33115,103.74184,8 Jurong Town Hall Road,609434
